IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.198.85,443,true,SIN,Asia Pacific,Singapore,70,5.92
8.222.130.84,443,true,SIN,Asia Pacific,Singapore,68,5.88
8.219.193.175,443,true,SIN,Asia Pacific,Singapore,71,5.80
47.236.1.5,443,true,SIN,Asia Pacific,Singapore,66,5.72
47.236.12.201,443,true,SIN,Asia Pacific,Singapore,63,5.70
47.76.249.178,443,true,HKG,Asia Pacific,Hong Kong,34,5.62
8.219.197.105,443,true,SIN,Asia Pacific,Singapore,70,5.60
8.222.130.172,443,true,SIN,Asia Pacific,Singapore,67,5.57
8.222.184.191,443,true,SIN,Asia Pacific,Singapore,72,5.54
8.219.205.255,443,true,SIN,Asia Pacific,Singapore,70,5.53
8.219.181.199,443,true,SIN,Asia Pacific,Singapore,69,5.52
8.219.199.25,443,true,SIN,Asia Pacific,Singapore,68,5.51
8.219.230.218,443,true,SIN,Asia Pacific,Singapore,76,5.49
8.222.131.111,443,true,SIN,Asia Pacific,Singapore,65,5.46
8.219.182.42,443,true,SIN,Asia Pacific,Singapore,61,5.44
8.222.147.171,443,true,SIN,Asia Pacific,Singapore,65,5.44
47.245.110.78,443,true,SIN,Asia Pacific,Singapore,68,5.41
47.236.104.28,443,true,SIN,Asia Pacific,Singapore,73,5.38
8.219.137.112,443,true,SIN,Asia Pacific,Singapore,69,5.36
47.236.28.160,443,true,SIN,Asia Pacific,Singapore,69,5.36
8.219.203.197,443,true,SIN,Asia Pacific,Singapore,62,5.35
47.236.98.11,443,true,SIN,Asia Pacific,Singapore,65,5.28
8.219.189.69,443,true,SIN,Asia Pacific,Singapore,67,5.27
8.222.171.224,443,true,SIN,Asia Pacific,Singapore,70,5.24
8.219.198.73,443,true,SIN,Asia Pacific,Singapore,65,5.22
8.219.212.243,443,true,SIN,Asia Pacific,Singapore,58,5.22
8.222.182.230,443,true,SIN,Asia Pacific,Singapore,69,5.18
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,5.17
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,47,5.14
8.219.211.59,443,true,SIN,Asia Pacific,Singapore,76,5.14
47.245.117.33,443,true,SIN,Asia Pacific,Singapore,67,5.11
47.236.77.43,443,true,SIN,Asia Pacific,Singapore,64,5.08
8.219.236.150,443,true,SIN,Asia Pacific,Singapore,72,5.04
8.222.133.159,443,true,SIN,Asia Pacific,Singapore,68,5.02
8.219.199.191,443,true,SIN,Asia Pacific,Singapore,64,5.01
131.186.17.87,443,true,ICN,Asia Pacific,Seoul,68,4.99
8.222.166.252,443,true,SIN,Asia Pacific,Singapore,67,4.93
8.219.236.71,443,true,SIN,Asia Pacific,Singapore,71,4.92
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,49,4.91
8.219.199.204,443,true,SIN,Asia Pacific,Singapore,69,4.90
47.245.103.236,443,true,SIN,Asia Pacific,Singapore,70,4.88
8.219.237.17,443,true,SIN,Asia Pacific,Singapore,69,4.87
47.236.111.66,443,true,SIN,Asia Pacific,Singapore,68,4.87
8.219.250.5,443,true,SIN,Asia Pacific,Singapore,63,4.87
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,38,4.86
8.222.133.167,443,true,SIN,Asia Pacific,Singapore,68,4.85
8.219.176.222,443,true,SIN,Asia Pacific,Singapore,74,4.85
47.76.243.3,443,true,HKG,Asia Pacific,Hong Kong,35,4.83
8.219.242.65,443,true,SIN,Asia Pacific,Singapore,69,4.82
8.219.161.178,443,true,SIN,Asia Pacific,Singapore,71,4.75
217.142.138.20,443,true,ICN,Asia Pacific,Seoul,68,4.72
8.222.131.60,443,true,SIN,Asia Pacific,Singapore,71,4.72
8.219.242.15,443,true,SIN,Asia Pacific,Singapore,65,4.71
8.219.245.43,443,true,SIN,Asia Pacific,Singapore,74,4.67
8.219.244.211,443,true,SIN,Asia Pacific,Singapore,66,4.67
130.162.157.117,443,true,ICN,Asia Pacific,Seoul,64,4.65
8.219.232.80,443,true,SIN,Asia Pacific,Singapore,58,4.65
8.219.251.47,443,true,SIN,Asia Pacific,Singapore,64,4.63
217.142.128.252,443,true,ICN,Asia Pacific,Seoul,64,4.61
217.142.129.180,443,true,ICN,Asia Pacific,Seoul,62,4.58
47.236.115.12,443,true,SIN,Asia Pacific,Singapore,62,4.55
8.219.180.193,443,true,SIN,Asia Pacific,Singapore,68,4.54
8.219.231.51,443,true,SIN,Asia Pacific,Singapore,66,4.48
8.219.252.138,443,true,SIN,Asia Pacific,Singapore,69,4.47
