IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.222.159.75,443,true,SIN,Asia Pacific,Singapore,67,7.47
8.219.240.4,443,true,SIN,Asia Pacific,Singapore,62,7.40
8.222.136.216,443,true,SIN,Asia Pacific,Singapore,66,7.30
8.219.222.245,443,true,SIN,Asia Pacific,Singapore,71,7.19
132.226.224.36,443,true,ICN,Asia Pacific,Seoul,66,7.07
8.222.159.228,443,true,SIN,Asia Pacific,Singapore,68,7.05
8.222.136.109,443,true,SIN,Asia Pacific,Singapore,66,7.04
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,30,6.83
8.219.206.139,443,true,SIN,Asia Pacific,Singapore,66,6.82
8.219.185.100,443,true,SIN,Asia Pacific,Singapore,69,6.82
8.219.192.32,443,true,SIN,Asia Pacific,Singapore,62,6.81
8.219.221.232,443,true,SIN,Asia Pacific,Singapore,66,6.80
8.219.206.23,443,true,SIN,Asia Pacific,Singapore,65,6.79
8.222.151.45,443,true,SIN,Asia Pacific,Singapore,56,6.79
8.222.131.72,443,true,SIN,Asia Pacific,Singapore,69,6.78
8.222.159.61,443,true,SIN,Asia Pacific,Singapore,72,6.66
8.222.154.16,443,true,SIN,Asia Pacific,Singapore,73,6.62
8.219.179.242,443,true,SIN,Asia Pacific,Singapore,57,6.56
47.236.17.31,443,true,SIN,Asia Pacific,Singapore,68,6.51
47.245.118.187,443,true,SIN,Asia Pacific,Singapore,65,6.50
43.129.171.137,443,true,HKG,Asia Pacific,Hong Kong,34,6.43
8.219.178.4,443,true,SIN,Asia Pacific,Singapore,70,6.39
64.110.80.13,443,true,ICN,Asia Pacific,Seoul,65,6.38
8.219.253.2,443,true,SIN,Asia Pacific,Singapore,64,6.36
8.219.223.40,443,true,SIN,Asia Pacific,Singapore,68,6.33
8.219.215.68,443,true,SIN,Asia Pacific,Singapore,66,6.33
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,38,6.32
8.219.199.208,443,true,SIN,Asia Pacific,Singapore,61,6.31
8.222.134.183,443,true,SIN,Asia Pacific,Singapore,65,6.31
192.243.127.224,443,true,KIX,Asia Pacific,Osaka,43,6.26
8.219.205.185,443,true,SIN,Asia Pacific,Singapore,68,6.17
8.219.255.105,443,true,SIN,Asia Pacific,Singapore,71,6.16
47.236.9.46,443,true,SIN,Asia Pacific,Singapore,65,6.15
47.245.124.86,443,true,SIN,Asia Pacific,Singapore,72,6.14
8.222.130.169,443,true,SIN,Asia Pacific,Singapore,60,6.13
8.222.140.121,443,true,SIN,Asia Pacific,Singapore,69,6.09
8.219.248.177,443,true,SIN,Asia Pacific,Singapore,69,6.06
47.236.102.216,443,true,SIN,Asia Pacific,Singapore,68,6.06
47.245.100.29,443,true,SIN,Asia Pacific,Singapore,62,6.03
47.236.31.131,443,true,SIN,Asia Pacific,Singapore,71,6.01
8.219.215.60,443,true,SIN,Asia Pacific,Singapore,61,6.00
8.219.152.87,443,true,SIN,Asia Pacific,Singapore,69,5.96
8.219.247.156,443,true,SIN,Asia Pacific,Singapore,67,5.96
8.219.156.195,443,true,SIN,Asia Pacific,Singapore,62,5.96
8.222.165.143,443,true,SIN,Asia Pacific,Singapore,64,5.95
8.219.199.69,443,true,SIN,Asia Pacific,Singapore,65,5.95
47.245.112.177,443,true,SIN,Asia Pacific,Singapore,67,5.94
8.219.132.121,443,true,SIN,Asia Pacific,Singapore,65,5.92
8.219.181.97,443,true,SIN,Asia Pacific,Singapore,75,5.92
8.222.134.159,443,true,NRT,Asia Pacific,Tokyo,70,5.92
8.219.191.179,443,true,SIN,Asia Pacific,Singapore,65,5.90
47.245.123.30,443,true,SIN,Asia Pacific,Singapore,65,5.89
217.142.135.81,443,true,ICN,Asia Pacific,Seoul,62,5.87
47.236.19.1,443,true,SIN,Asia Pacific,Singapore,68,5.86
130.162.141.243,443,true,ICN,Asia Pacific,Seoul,64,5.80
8.222.146.54,443,true,SIN,Asia Pacific,Singapore,66,5.79
47.245.108.45,443,true,SIN,Asia Pacific,Singapore,65,5.78
8.219.164.148,443,true,SIN,Asia Pacific,Singapore,69,5.77
47.236.93.212,443,true,SIN,Asia Pacific,Singapore,67,5.75
8.222.150.244,443,true,SIN,Asia Pacific,Singapore,64,5.74
8.219.140.31,443,true,SIN,Asia Pacific,Singapore,64,5.73
47.245.121.94,443,true,SIN,Asia Pacific,Singapore,67,5.72
47.245.102.218,443,true,SIN,Asia Pacific,Singapore,63,5.71
8.222.165.89,443,true,SIN,Asia Pacific,Singapore,64,5.69
8.219.195.102,443,true,SIN,Asia Pacific,Singapore,71,5.68
8.219.244.61,443,true,SIN,Asia Pacific,Singapore,62,5.64
8.222.162.41,443,true,SIN,Asia Pacific,Singapore,67,5.59
8.222.179.66,443,true,SIN,Asia Pacific,Singapore,63,5.58
47.245.99.160,443,true,SIN,Asia Pacific,Singapore,65,5.53
8.219.138.144,443,true,SIN,Asia Pacific,Singapore,68,5.53
8.219.153.246,443,true,SIN,Asia Pacific,Singapore,63,5.52
8.219.142.205,443,true,SIN,Asia Pacific,Singapore,68,5.50
152.70.95.50,443,true,ICN,Asia Pacific,Seoul,66,5.47
8.219.197.156,443,true,SIN,Asia Pacific,Singapore,70,5.44
8.219.135.74,443,true,SIN,Asia Pacific,Singapore,74,5.40
38.207.164.159,443,true,HKG,Asia Pacific,Hong Kong,85,5.40
8.219.205.142,443,true,SIN,Asia Pacific,Singapore,68,5.39
8.219.228.66,443,true,SIN,Asia Pacific,Singapore,68,5.39
38.207.185.109,443,true,HKG,Asia Pacific,Hong Kong,86,5.37
8.219.232.117,443,true,SIN,Asia Pacific,Singapore,68,5.37
8.219.207.131,443,true,NRT,Asia Pacific,Tokyo,62,5.32
47.245.106.149,443,true,SIN,Asia Pacific,Singapore,69,5.29
8.219.168.156,443,true,SIN,Asia Pacific,Singapore,63,5.28
8.219.162.108,443,true,SIN,Asia Pacific,Singapore,61,5.28
8.219.212.194,443,true,SIN,Asia Pacific,Singapore,61,5.27
146.56.188.166,443,true,ICN,Asia Pacific,Seoul,70,5.26
45.77.130.245,443,true,NRT,Asia Pacific,Tokyo,133,5.24
8.219.129.221,443,true,SIN,Asia Pacific,Singapore,63,5.17
141.98.196.223,443,true,NRT,Asia Pacific,Tokyo,41,5.17
47.245.125.225,443,true,SIN,Asia Pacific,Singapore,80,5.16
8.219.167.35,443,true,SIN,Asia Pacific,Singapore,60,5.16
47.76.193.130,443,true,HKG,Asia Pacific,Hong Kong,1044,5.15
8.219.238.61,443,true,SIN,Asia Pacific,Singapore,68,5.13
168.138.163.40,443,true,SIN,Asia Pacific,Singapore,73,5.11
8.222.168.214,443,true,SIN,Asia Pacific,Singapore,61,5.08
8.219.209.32,443,true,SIN,Asia Pacific,Singapore,75,5.06
129.150.38.154,443,true,SIN,Asia Pacific,Singapore,68,5.03
8.219.197.239,443,true,SIN,Asia Pacific,Singapore,68,5.01
8.219.149.173,443,true,SIN,Asia Pacific,Singapore,70,5.01
8.219.198.108,443,true,SIN,Asia Pacific,Singapore,72,4.99
8.219.139.104,443,true,SIN,Asia Pacific,Singapore,61,4.92
217.142.128.252,443,true,ICN,Asia Pacific,Seoul,67,4.90
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,51,4.86
193.123.227.15,443,true,ICN,Asia Pacific,Seoul,66,4.86
146.56.131.115,443,true,ICN,Asia Pacific,Seoul,66,4.85
8.222.170.241,443,true,SIN,Asia Pacific,Singapore,68,4.84
213.130.143.166,443,true,HKG,Asia Pacific,Hong Kong,108,4.81
8.219.161.33,443,true,SIN,Asia Pacific,Singapore,62,4.78
217.142.138.20,443,true,ICN,Asia Pacific,Seoul,65,4.77
8.222.176.205,443,true,SIN,Asia Pacific,Singapore,60,4.77
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,65,4.76
8.219.131.148,443,true,SIN,Asia Pacific,Singapore,65,4.67
47.236.5.225,443,true,SIN,Asia Pacific,Singapore,61,4.65
8.219.208.34,443,true,SIN,Asia Pacific,Singapore,66,4.65
47.236.79.186,443,true,SIN,Asia Pacific,Singapore,66,4.64
8.219.132.126,443,true,SIN,Asia Pacific,Singapore,65,4.61
47.236.110.79,443,true,SIN,Asia Pacific,Singapore,74,4.61
146.56.46.84,443,true,ICN,Asia Pacific,Seoul,1072,4.54
8.219.150.43,443,true,SIN,Asia Pacific,Singapore,68,4.49
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,65,4.48
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,65,4.47
213.130.143.177,443,true,HKG,Asia Pacific,Hong Kong,116,4.44
8.222.166.34,443,true,SIN,Asia Pacific,Singapore,72,4.40
8.219.136.12,443,true,SIN,Asia Pacific,Singapore,70,4.37
213.130.143.178,443,true,HKG,Asia Pacific,Hong Kong,120,4.37
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,42,4.28
8.222.134.27,443,true,SIN,Asia Pacific,Singapore,68,4.21
47.245.126.13,443,true,SIN,Asia Pacific,Singapore,64,4.17
