IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
108.162.194.35,443,true,LAX,North America,Los Angeles,172,4.94
5.10.247.74,443,true,LAX,North America,Los Angeles,167,4.90
5.10.245.164,443,true,LAX,North America,Los Angeles,172,4.79
5.10.245.1,443,true,LAX,North America,Los Angeles,179,4.75
5.10.244.55,443,true,LAX,North America,Los Angeles,219,4.73
130.250.137.249,443,true,LAX,North America,Los Angeles,200,4.65
5.10.247.98,443,true,LAX,North America,Los Angeles,179,4.60
5.10.244.93,443,true,LAX,North America,Los Angeles,180,4.58
5.10.245.99,443,true,LAX,North America,Los Angeles,185,4.51
5.10.244.71,443,true,LAX,North America,Los Angeles,179,4.39
5.10.244.136,443,true,LAX,North America,Los Angeles,166,4.38
5.10.245.112,443,true,LAX,North America,Los Angeles,185,4.36
5.10.245.104,443,true,LAX,North America,Los Angeles,168,4.36
5.10.244.212,443,true,LAX,North America,Los Angeles,172,4.33
108.162.194.158,443,true,LAX,North America,Los Angeles,180,4.33
45.202.113.111,443,true,LAX,North America,Los Angeles,174,4.31
5.10.244.61,443,true,LAX,North America,Los Angeles,183,4.31
5.10.247.97,443,true,LAX,North America,Los Angeles,185,4.30
5.10.245.195,443,true,LAX,North America,Los Angeles,173,4.29
5.10.244.67,443,true,LAX,North America,Los Angeles,183,4.28
45.131.209.136,443,true,LAX,North America,Los Angeles,188,4.28
5.10.244.231,443,true,LAX,North America,Los Angeles,181,4.27
5.10.245.176,443,true,LAX,North America,Los Angeles,188,4.25
5.10.247.43,443,true,LAX,North America,Los Angeles,166,4.24
5.10.246.30,443,true,LAX,North America,Los Angeles,193,4.24
5.10.244.114,443,true,LAX,North America,Los Angeles,175,4.24
5.10.244.220,443,true,LAX,North America,Los Angeles,171,4.23
5.10.247.117,443,true,LAX,North America,Los Angeles,176,4.22
5.10.244.161,443,true,LAX,North America,Los Angeles,176,4.21
5.10.247.125,443,true,LAX,North America,Los Angeles,183,4.21
5.10.245.206,443,true,LAX,North America,Los Angeles,183,4.21
45.131.211.70,443,true,LAX,North America,Los Angeles,254,4.21
5.10.244.89,443,true,LAX,North America,Los Angeles,181,4.21
5.10.245.234,443,true,LAX,North America,Los Angeles,170,4.20
5.10.244.131,443,true,LAX,North America,Los Angeles,166,4.19
5.10.246.173,443,true,LAX,North America,Los Angeles,174,4.19
5.10.245.2,443,true,LAX,North America,Los Angeles,225,4.18
5.10.245.43,443,true,LAX,North America,Los Angeles,200,4.17
108.162.194.232,443,true,LAX,North America,Los Angeles,164,4.17
130.250.137.96,443,true,LAX,North America,Los Angeles,178,4.16
5.10.244.78,443,true,LAX,North America,Los Angeles,182,4.14
5.10.244.22,443,true,LAX,North America,Los Angeles,193,4.14
108.162.194.124,443,true,LAX,North America,Los Angeles,173,4.14
5.10.244.120,443,true,LAX,North America,Los Angeles,182,4.14
5.10.245.124,443,true,LAX,North America,Los Angeles,185,4.13
5.10.245.143,443,true,LAX,North America,Los Angeles,171,4.12
5.10.244.243,443,true,LAX,North America,Los Angeles,182,4.12
5.10.244.174,443,true,LAX,North America,Los Angeles,181,4.12
5.10.245.193,443,true,LAX,North America,Los Angeles,175,4.12
5.10.245.251,443,true,LAX,North America,Los Angeles,175,4.12
45.131.210.88,443,true,LAX,North America,Los Angeles,177,4.12
130.250.137.253,443,true,LAX,North America,Los Angeles,257,4.11
130.250.137.235,443,true,LAX,North America,Los Angeles,177,4.09
5.10.244.56,443,true,LAX,North America,Los Angeles,183,4.09
5.10.245.38,443,true,LAX,North America,Los Angeles,200,4.09
135.84.64.37,443,true,LAX,North America,Los Angeles,188,4.07
5.10.247.62,443,true,LAX,North America,Los Angeles,180,4.07
5.10.244.244,443,true,LAX,North America,Los Angeles,186,4.06
5.10.244.73,443,true,LAX,North America,Los Angeles,170,4.06
5.10.245.230,443,true,LAX,North America,Los Angeles,176,4.05
130.250.137.56,443,true,LAX,North America,Los Angeles,171,4.05
5.10.244.180,443,true,LAX,North America,Los Angeles,193,4.05
5.10.244.45,443,true,LAX,North America,Los Angeles,174,4.05
5.10.244.27,443,true,LAX,North America,Los Angeles,181,4.04
5.10.244.74,443,true,LAX,North America,Los Angeles,185,4.03
5.10.244.107,443,true,LAX,North America,Los Angeles,174,4.03
135.84.64.59,443,true,LAX,North America,Los Angeles,174,4.03
5.10.244.199,443,true,LAX,North America,Los Angeles,183,4.03
5.10.244.109,443,true,LAX,North America,Los Angeles,182,4.03
5.10.246.55,443,true,LAX,North America,Los Angeles,183,4.02
130.250.137.98,443,true,LAX,North America,Los Angeles,209,4.01
5.10.244.215,443,true,LAX,North America,Los Angeles,221,4.01
45.131.209.48,443,true,LAX,North America,Los Angeles,180,4.00
5.10.244.237,443,true,LAX,North America,Los Angeles,178,4.00
5.10.245.141,443,true,LAX,North America,Los Angeles,258,3.99
5.10.245.94,443,true,LAX,North America,Los Angeles,184,3.98
108.162.194.240,443,true,LAX,North America,Los Angeles,172,3.97
5.10.244.134,443,true,LAX,North America,Los Angeles,180,3.97
5.10.244.156,443,true,LAX,North America,Los Angeles,182,3.97
5.10.246.54,443,true,LAX,North America,Los Angeles,176,3.96
5.10.244.246,443,true,LAX,North America,Los Angeles,177,3.96
45.131.210.223,443,true,LAX,North America,Los Angeles,179,3.95
5.10.244.112,443,true,LAX,North America,Los Angeles,177,3.94
5.10.246.89,443,true,LAX,North America,Los Angeles,189,3.94
5.10.245.147,443,true,LAX,North America,Los Angeles,183,3.94
5.10.245.14,443,true,LAX,North America,Los Angeles,189,3.94
130.250.137.99,443,true,LAX,North America,Los Angeles,253,3.93
5.10.245.191,443,true,LAX,North America,Los Angeles,180,3.93
45.131.210.5,443,true,LAX,North America,Los Angeles,176,3.92
45.131.210.176,443,true,LAX,North America,Los Angeles,171,3.92
5.10.244.160,443,true,LAX,North America,Los Angeles,191,3.92
44.31.62.2,443,true,SJC,North America,San Jose,149,3.91
5.10.244.0,443,true,LAX,North America,Los Angeles,176,3.91
5.10.245.199,443,true,LAX,North America,Los Angeles,177,3.91
